Date,Clics,Impressions,CTR,Position
2025-02-05,15,1247,1.2%,20.7
2025-02-04,16,735,2.18%,13.85
2025-02-03,11,1398,0.79%,22.61
2025-02-02,12,826,1.45%,18.53
2025-02-01,15,882,1.7%,18.92
2025-01-31,13,1015,1.28%,20.9
2025-01-30,17,811,2.1%,18.17
2025-01-29,14,1131,1.24%,21.82
2025-01-28,14,817,1.71%,16.53
2025-01-27,21,843,2.49%,17.47
2025-01-26,11,921,1.19%,23.29
2025-01-25,10,782,1.28%,18.73
2025-01-24,3,891,0.34%,22.34
2025-01-23,17,928,1.83%,15.03
2025-01-22,11,744,1.48%,20.85
2025-01-21,17,867,1.96%,14.4
2025-01-20,19,737,2.58%,13.31
2025-01-19,14,855,1.64%,22.08
2025-01-18,18,1260,1.43%,24.94
2025-01-17,12,1241,0.97%,27.71
2025-01-16,16,935,1.71%,26.1
2025-01-15,18,668,2.69%,11.49
2025-01-14,17,804,2.11%,14.8
2025-01-13,13,675,1.93%,12.29
2025-01-12,19,948,2%,17.42
2025-01-11,23,897,2.56%,15.78
2025-01-10,14,1036,1.35%,16.28
2025-01-09,19,893,2.13%,12.91
2025-01-08,16,895,1.79%,12.77
2025-01-07,31,808,3.84%,10.72
2025-01-06,26,792,3.28%,10.23
2025-01-05,17,1111,1.53%,16.44
2025-01-04,23,831,2.77%,11.94
2025-01-03,24,817,2.94%,11.51
2025-01-02,37,1057,3.5%,10.69
2025-01-01,23,1115,2.06%,17.82
2024-12-31,25,880,2.84%,11.91
2024-12-30,22,821,2.68%,10.12
2024-12-29,24,956,2.51%,13.16
2024-12-28,18,829,2.17%,11.43
2024-12-27,24,850,2.82%,9.83
2024-12-26,18,787,2.29%,10.66
2024-12-25,16,1042,1.54%,18.63
2024-12-24,15,872,1.72%,16.2
2024-12-23,34,769,4.42%,11.02
2024-12-22,24,939,2.56%,15.62
2024-12-21,18,679,2.65%,11.94
2024-12-20,28,806,3.47%,11.41
2024-12-19,26,804,3.23%,11.45
2024-12-18,24,1075,2.23%,16.29
2024-12-17,24,808,2.97%,11.51
2024-12-16,24,854,2.81%,11.57
2024-12-15,10,938,1.07%,15.32
2024-12-14,25,923,2.71%,11.92
2024-12-13,23,770,2.99%,8.24
2024-12-12,24,986,2.43%,13.73
2024-12-11,31,1014,3.06%,10.91
2024-12-10,32,877,3.65%,7.98
2024-12-09,41,916,4.48%,10.11
2024-12-08,14,861,1.63%,10.52
2024-12-07,23,840,2.74%,8.21
2024-12-06,29,880,3.3%,7.92
2024-12-05,30,872,3.44%,8.44
2024-12-04,23,958,2.4%,8.27
2024-12-03,32,893,3.58%,7.95
2024-12-02,27,1004,2.69%,7.79
2024-12-01,20,979,2.04%,10.09
2024-11-30,33,1010,3.27%,9.57
2024-11-29,33,1074,3.07%,8.1
2024-11-28,28,940,2.98%,11.99
2024-11-27,36,926,3.89%,10.57
2024-11-26,23,894,2.57%,7.98
2024-11-25,33,975,3.38%,8.38
2024-11-24,19,956,1.99%,9.34
2024-11-23,32,1110,2.88%,10.06
2024-11-22,25,986,2.54%,10.17
2024-11-21,32,1047,3.06%,9.36
2024-11-20,28,1079,2.59%,9.33
2024-11-19,33,1039,3.18%,9
2024-11-18,31,1156,2.68%,9.89
2024-11-17,20,1038,1.93%,11.03
2024-11-16,20,1016,1.97%,10.39
2024-11-15,25,978,2.56%,9.31
2024-11-14,26,982,2.65%,9.3
2024-11-13,25,1128,2.22%,10.88
2024-11-12,28,1797,1.56%,15.45
2024-11-11,36,1112,3.24%,8.51
2024-11-10,17,1099,1.55%,11.02
2024-11-09,16,979,1.63%,9.76
2024-11-08,27,911,2.96%,8.42
2024-11-07,18,923,1.95%,9.19
2024-11-06,21,1006,2.09%,11.05